id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,4.9341,1,N/A,N/A,N/A,1,audio delay,1,right,no early,hit,0,0,1.8903,3.0903,3.0903,3.1403,[],[],[],0.5,0.51,"[3.3991, 3.5386, 3.7577, 3.9185, 4.1151, 4.2948]",1.2403,1.8903
1,6.7364,11.841,2,N/A,N/A,N/A,2,audio delay,1,right,no early,hit,0,0,8.7735,9.9735,9.9735,10.0235,[],[],[],7.2364,7.2464,"[10.306, 10.4792, 10.6634, 10.8357]",8.1235,8.7735
2,13.6355,19.169,3,N/A,N/A,N/A,3,audio delay,1,right,no early,hit,0,0,15.4827,17.2827,17.2827,17.3327,[],[],[],14.1355,14.1455,"[17.634, 17.8355, 17.9773, 18.1544, 18.3401]",14.8327,15.4827
3,20.9602,25.821,4,N/A,N/A,N/A,4,audio delay,1,right,no early,hit,0,0,22.7875,23.9875,23.9875,24.0375,[],[],[],21.4602,21.4702,"[24.286, 24.48, 24.6299, 24.8021, 24.9655, 25.1203]",22.1375,22.7875
4,27.6141,32.8899,5,N/A,N/A,N/A,5,audio delay,1,left,early,hit,0,0,30.0105,31.2105,31.2105,31.2605,"[31.3549, 31.481, 31.6946, 31.8275, 31.9995, 32.2255]",[],[],28.1141,28.1241,29.2605,"[28.8243, 29.3605]","[29.2605, 30.0105]"
5,34.6859,39.5452,6,N/A,N/A,N/A,6,audio delay,1,left,no early,hit,0,0,36.5364,37.7364,37.7364,37.7864,"[38.0102, 38.1374, 38.299, 38.4813]",[],[],35.1859,35.1959,[],35.8864,36.5364
6,41.3409,46.2791,7,N/A,N/A,N/A,7,audio delay,1,left,no early,hit,0,0,43.3981,44.5981,44.5981,44.6481,"[44.7441, 44.7889, 44.921, 45.0758, 45.2347, 45.3929, 45.5857, 45.7926, 45.9529]",[],[],41.8409,41.8509,[],42.7481,43.3981
7,48.0766,53.0094,8,N/A,N/A,N/A,8,audio delay,1,left,no early,hit,0,0,50.1027,51.3027,51.3027,51.3527,"[51.4744, 51.5825, 51.7279, 51.8888, 52.0821, 52.1163, 52.2701, 52.4731]",[],[],48.5766,48.5866,[],49.4527,50.1027
8,54.8068,60.2759,9,N/A,N/A,N/A,9,audio delay,1,right,no early,hit,0,0,56.6522,57.8522,57.8522,57.9022,[],[],[],55.3068,55.3168,"[58.7409, 58.9111, 59.0885, 59.2793]",56.0022,56.6522
9,62.0746,67.1271,10,N/A,N/A,N/A,10,audio delay,1,right,no early,hit,0,0,64.0099,65.2099,65.2099,65.2599,[],[],[],62.5746,62.5846,"[65.5921, 65.8328, 65.9627, 66.107]",63.3599,64.0099
10,68.9268,74.5953,11,N/A,N/A,N/A,11,audio delay,1,right,no early,hit,0,0,70.9724,72.7724,72.7724,72.8224,[],[],[],69.4268,69.4368,"[73.0603, 73.4353, 73.5959, 73.7843, 73.9758]",70.3224,70.9724
11,76.3967,81.2381,12,2.579,5.500,0.5000,12,audio delay,1,right,no early,hit,0,0,78.2752,79.4752,79.4752,79.5252,[],78.9757,79.4757,76.8967,76.9067,"[79.7031, 79.8031, 79.975, 80.1699, 80.3477, 80.5283, 80.6956]",77.6252,78.2752
12,83.0402,87.9788,13,N/A,N/A,N/A,13,audio delay,1,left,no early,hit,0,0,85.0995,86.2995,86.2995,86.3495,"[86.4438, 86.5543, 86.7408, 86.9029, 87.0944, 87.2476]",[],[],83.5402,83.5502,[],84.4495,85.0995
13,89.7837,93.9841,14,N/A,N/A,N/A,14,audio delay,1,right,no early,miss,0,0,91.6022,92.8022,92.8022,92.8522,93.4841,[],[],90.2837,90.2937,"[93.7393, 93.931]",90.9522,91.6022
14,95.7871,100.693,15,N/A,N/A,N/A,15,audio delay,1,right,no early,hit,0,0,97.697,98.897,98.897,98.947,[],[],[],96.2871,96.2971,"[99.158, 99.259, 99.4773, 99.6199, 99.8345, 100.0173]",97.047,97.697
15,102.4991,107.3945,16,N/A,N/A,N/A,16,audio delay,1,right,no early,hit,0,0,104.4378,105.6378,105.6378,105.6878,[],[],[],102.9991,103.0091,"[105.8595, 105.9953, 106.186, 106.354, 106.5236]",103.7878,104.4378
16,109.2027,114.0592,17,N/A,N/A,N/A,17,audio delay,1,right,no early,hit,0,0,111.085,112.285,112.285,112.335,[],[],[],109.7027,109.7127,"[112.5242, 112.6519, 112.8391, 113.0068, 113.1862]",110.435,111.085
17,115.8684,120.5964,18,N/A,N/A,N/A,18,audio delay,1,left,no early,hit,0,0,117.7085,118.9085,118.9085,118.9585,"[119.0614, 119.1125, 119.2441, 119.4012, 119.5647, 119.7292, 119.9479]",[],[],116.3684,116.3784,[],117.0585,117.7085
18,122.4053,127.2719,19,N/A,N/A,N/A,19,audio delay,1,left,no early,hit,0,0,124.2472,125.4472,125.4472,125.4972,"[125.7369, 125.8947, 126.064, 126.2425, 126.4644, 126.6288]",[],[],122.9053,122.9153,[],123.5972,124.2472
19,129.0841,133.8539,20,N/A,N/A,N/A,20,audio delay,1,left,no early,hit,0,0,130.9802,132.1802,132.1802,132.2302,"[132.3189, 132.4541, 132.6355, 132.7583, 132.9353, 133.1228]",[],[],129.5841,129.5941,[],130.3302,130.9802
20,135.666,139.8482,21,N/A,N/A,N/A,21,audio delay,1,right,no early,miss,0,0,137.5896,138.7896,138.7896,138.8396,139.3482,[],[],136.166,136.176,[],136.9396,137.5896
21,141.6604,147.1147,22,N/A,N/A,N/A,22,audio delay,1,right,no early,hit,0,0,143.6559,144.8559,144.8559,144.9059,[],[],[],142.1604,142.1704,"[145.5797, 145.7721, 145.9156, 146.0841, 146.257]",143.0059,143.6559
22,148.9292,153.9456,23,N/A,N/A,N/A,23,audio delay,1,right,no early,hit,0,0,150.9335,152.1335,152.1335,152.1835,[],[],[],149.4292,149.4392,"[152.4106, 152.5569, 152.7467, 152.9124, 153.102]",150.2835,150.9335
23,155.7648,160.6512,24,N/A,N/A,N/A,24,audio delay,1,left,no early,hit,0,0,157.6675,158.8675,158.8675,158.9175,"[159.1162, 159.2734, 159.4796, 159.6378, 159.8059]",[],[],156.2648,156.2748,[],157.0175,157.6675
24,162.4702,167.3684,25,N/A,N/A,N/A,25,audio delay,1,right,no early,hit,0,0,164.3155,165.5155,165.5155,165.5655,[],[],[],162.9702,162.9802,"[165.8334, 166.01, 166.1813]",163.6655,164.3155
25,169.1874,174.1576,26,N/A,N/A,N/A,26,audio delay,1,right,no early,hit,0,0,171.0984,172.2984,172.2984,172.3484,[],[],[],169.6874,169.6974,"[172.6226, 172.8098, 172.9775, 173.1524, 173.3499]",170.4484,171.0984
26,175.9785,181.0415,27,2.628,5.500,0.5000,27,audio delay,1,right,no early,hit,0,0,177.9069,179.1069,179.1069,179.1569,[],178.6065,179.1065,176.4785,176.4885,"[179.5065, 179.7112, 179.8868, 180.0596, 180.214]",177.2569,177.9069
27,182.8617,187.69,28,N/A,N/A,N/A,28,audio delay,1,right,no early,hit,0,0,184.7789,185.9789,185.9789,186.0289,[],[],[],183.3617,183.3717,"[186.155, 186.246, 186.4096, 186.6175, 186.7621, 186.9495, 187.1264]",184.1289,184.7789
28,189.5123,194.4497,29,N/A,N/A,N/A,29,audio delay,1,left,no early,hit,0,0,191.5634,192.7634,192.7634,192.8134,"[192.9147, 193.0902, 193.2445, 193.4532, 193.608]",[],[],190.0123,190.0223,[],190.9134,191.5634
29,196.2741,200.2068,30,N/A,N/A,N/A,30,audio delay,1,right,no early,miss,0,0,198.2126,199.4126,199.4126,199.4626,199.7068,[],[],196.7741,196.7841,"[200.021, 200.1576]",197.5626,198.2126
30,202.1733,207.1188,31,2.529,5.500,0.5000,31,audio delay,1,right,no early,hit,0,0,204.0021,205.2021,205.2021,205.2521,[],204.7023,205.2023,202.6733,202.6833,"[205.5838, 205.7693, 205.942, 206.1377]",203.3521,204.0021
31,208.9466,213.967,32,2.642,5.500,0.5000,32,audio delay,1,right,no early,hit,0,0,210.8883,212.0883,212.0883,212.1383,[],211.5886,212.0886,209.4466,209.4566,"[212.432, 212.6324, 212.8028, 212.9615, 212.989, 213.1526]",210.2383,210.8883
32,215.7925,220.9268,33,N/A,N/A,N/A,33,audio delay,1,right,no early,hit,0,0,217.8519,219.0519,219.0519,219.1019,[],[],[],216.2925,216.3025,"[219.3918, 219.5886, 219.7652, 219.9544]",217.2019,217.8519
33,222.7549,228.1545,34,N/A,N/A,N/A,34,audio delay,1,left,no early,hit,0,0,224.6364,226.4364,226.4364,226.4864,"[226.6195, 226.752, 226.9123, 227.1113, 227.2741, 227.4329]",[],[],223.2549,223.2649,[],223.9864,224.6364
34,229.984,235.0928,35,N/A,N/A,N/A,35,audio delay,1,right,no early,hit,0,0,231.966,233.166,233.166,233.216,[],[],[],230.484,230.494,"[233.5578, 233.7374, 233.9121]",231.316,231.966
35,236.9257,241.749,36,N/A,N/A,N/A,36,audio delay,1,left,no early,hit,0,0,238.8617,240.0617,240.0617,240.1117,"[240.214, 240.3289, 240.5035, 240.6647, 240.8466, 241.0221]",[],[],237.4257,237.4357,[],238.2117,238.8617
36,243.58,248.1691,37,N/A,N/A,N/A,37,audio delay,1,right,no early,miss,0,0,245.5288,247.3288,247.3288,247.3788,247.6691,[],[],244.08,244.09,248.012,244.8788,245.5288
37,250.0576,255.0456,38,N/A,N/A,N/A,38,audio delay,1,right,no early,hit,0,0,251.9896,253.1896,253.1896,253.2396,[],[],[],250.5576,250.5676,"[253.5106, 253.6195, 253.8821, 254.0649, 254.2603]",251.3396,251.9896
38,256.8812,261.913,39,N/A,N/A,N/A,39,audio delay,1,right,no early,hit,0,0,258.891,260.091,260.091,260.141,[],[],[],257.3812,257.3912,"[260.378, 260.51, 260.6711, 260.8381, 261.0166]",258.241,258.891
39,263.7483,268.6676,40,2.557,5.500,0.5000,40,audio delay,1,right,no early,hit,0,0,265.6057,266.8057,266.8057,266.8557,[],266.3053,266.8053,264.2483,264.2583,"[267.1326, 267.2466, 267.4314, 267.5924, 267.7672]",264.9557,265.6057
40,270.5053,275.43,41,N/A,N/A,N/A,41,audio delay,1,left,no early,hit,0,0,272.3858,273.5858,273.5858,273.6358,"[273.895, 274.0106, 274.2057, 274.3677, 274.5806]",[],[],271.0053,271.0153,[],271.7358,272.3858
41,277.2669,282.3299,42,N/A,N/A,N/A,42,audio delay,1,right,no early,hit,0,0,279.2881,280.4881,280.4881,280.5381,[],[],[],277.7669,277.7769,"[280.7949, 280.9676, 281.1671]",278.6381,279.2881
42,284.1697,289.0873,43,N/A,N/A,N/A,43,audio delay,1,right,no early,hit,0,0,286.0463,287.2463,287.2463,287.2963,[],[],[],284.6697,284.6797,"[287.5523, 287.7058, 287.8795, 288.0594]",285.3963,286.0463
43,290.928,295.8791,44,N/A,N/A,N/A,44,audio delay,1,right,no early,hit,0,0,292.9532,294.1532,294.1532,294.2032,[],[],[],291.428,291.438,"[294.3441, 294.4487, 294.6473, 294.8047, 294.9704]",292.3032,292.9532
44,297.7211,302.6031,45,N/A,N/A,N/A,45,audio delay,1,right,no early,hit,0,0,299.5904,300.7904,300.7904,300.8404,[],[],[],298.2211,298.2311,"[301.0681, 301.3809, 301.5726, 301.7499]",298.9404,299.5904
45,304.4459,309.1285,46,N/A,N/A,N/A,46,audio delay,1,left,no early,hit,0,0,306.2618,307.4618,307.4618,307.5118,"[307.5935, 307.7374, 307.9221, 308.0659, 308.2292, 308.4218]",[],[],304.9459,304.9559,[],305.6118,306.2618
46,310.9734,315.7841,47,N/A,N/A,N/A,47,audio delay,1,left,no early,hit,0,0,312.9126,314.1126,314.1126,314.1626,"[314.2491, 314.4034, 314.5747, 314.7697, 314.9726]",[],[],311.4734,311.4834,[],312.2626,312.9126
47,317.6298,322.5516,48,N/A,N/A,N/A,48,audio delay,1,right,no early,hit,0,0,319.4546,320.6546,320.6546,320.7046,[],[],[],318.1298,318.1398,"[321.0166, 321.2298, 321.3834, 321.5717, 321.7709]",318.8046,319.4546
48,324.4005,329.1569,49,2.543,5.500,0.5000,49,audio delay,1,left,no early,hit,0,0,326.2434,327.4434,327.4434,327.4934,"[327.6219, 327.7354, 327.9118, 328.0948, 328.2655, 328.4776]",326.9435,327.4435,324.9005,324.9105,[],325.5934,326.2434
49,331.0078,336.1011,50,2.735,5.500,0.5000,50,audio delay,1,right,no early,hit,0,0,333.0431,334.2431,334.2431,334.2931,[],333.7428,334.2428,331.5078,331.5178,"[334.5661, 334.7725, 334.9534, 335.1105, 335.3005]",332.3931,333.0431
50,337.9505,343.0041,51,N/A,N/A,N/A,51,audio delay,1,right,no early,hit,0,0,339.975,341.175,341.175,341.225,[],[],[],338.4505,338.4605,"[341.4691, 341.6267, 341.7945, 341.9951, 342.1819]",339.325,339.975
51,344.8566,349.7525,52,2.671,5.500,0.5000,52,audio delay,1,left,no early,hit,0,0,346.828,348.028,348.028,348.078,"[348.2175, 348.3205, 348.4994, 348.6788, 348.822, 349.0021]",347.5276,348.0276,345.3566,345.3666,[],346.178,346.828
52,351.6037,356.4124,53,N/A,N/A,N/A,53,audio delay,1,left,no early,hit,0,0,353.4458,354.6458,354.6458,354.6958,"[354.8774, 355.0441, 355.1893, 355.3594, 355.5316]",[],[],352.1037,352.1137,[],352.7958,353.4458
53,358.265,363.3088,54,N/A,N/A,N/A,54,audio delay,1,right,no early,hit,0,0,360.2773,361.4773,361.4773,361.5273,[],[],[],358.765,358.775,"[361.7738, 361.9865, 362.1683, 362.317, 362.5133]",359.6273,360.2773
54,365.1633,370.6981,55,N/A,N/A,N/A,55,audio delay,1,right,no early,hit,0,0,367.1137,368.9137,368.9137,368.9637,[],[],[],365.6633,365.6733,"[369.1631, 369.2777, 369.4407, 369.6263, 369.8041, 369.9827]",366.4637,367.1137
55,372.5547,377.4894,56,N/A,N/A,N/A,56,audio delay,1,left,no early,hit,0,0,374.5846,375.7846,375.7846,375.8346,"[375.9544, 376.0891, 376.2443, 376.4026, 376.6014]",[],[],373.0547,373.0647,[],373.9346,374.5846
56,379.3434,384.3723,57,N/A,N/A,N/A,57,audio delay,1,right,no early,hit,0,0,381.3816,382.5816,382.5816,382.6316,[],[],[],379.8434,379.8534,"[382.8373, 383.0037, 383.1856, 383.3602, 383.5653]",380.7316,381.3816
57,386.2284,391.305,58,N/A,N/A,N/A,58,audio delay,1,right,no early,hit,0,0,388.2542,389.4542,389.4542,389.5042,[],[],[],386.7284,386.7384,"[389.77, 389.9306, 390.1147, 390.2957, 390.4526]",387.6042,388.2542
58,393.1657,397.8651,59,N/A,N/A,N/A,59,audio delay,1,left,no early,hit,0,0,394.9897,396.1897,396.1897,396.2397,"[396.3301, 396.3604, 396.4871, 396.6613, 396.8274, 397.0171]",[],[],393.6657,393.6757,[],394.3397,394.9897
59,399.7275,404.8512,60,2.744,5.500,0.5000,60,audio delay,1,right,no early,hit,0,0,401.7715,402.9715,402.9715,403.0215,[],402.4715,402.9715,400.2275,400.2375,"[403.3162, 403.5112, 403.6798, 403.8356, 404.0087]",401.1215,401.7715
60,406.7142,411.5485,61,2.515,5.500,0.5000,61,audio delay,1,right,no early,hit,0,0,408.5292,409.7292,409.7292,409.7792,[],409.2292,409.7292,407.2142,407.2242,"[410.0135, 410.2028, 410.3513, 410.5366, 410.7056]",407.8792,408.5292
61,413.4119,418.219,62,N/A,N/A,N/A,62,audio delay,1,left,no early,hit,0,0,415.2985,416.4985,416.4985,416.5485,"[416.684, 416.7755, 416.9415, 417.1084, 417.2884, 417.4512]",[],[],413.9119,413.9219,[],414.6485,415.2985
62,420.0845,424.999,63,N/A,N/A,N/A,63,audio delay,1,right,no early,hit,0,0,422.0475,423.2475,423.2475,423.2975,[],[],[],420.5845,420.5945,"[423.464, 423.5833, 423.8047, 423.9653, 424.1154, 424.3026]",421.3975,422.0475
63,426.8629,431.8053,64,N/A,N/A,N/A,64,audio delay,1,right,no early,hit,0,0,428.7738,429.9738,429.9738,430.0238,[],[],[],427.3629,427.3729,"[430.2703, 430.3985, 430.5618, 430.7569, 430.9372]",428.1238,428.7738
64,433.6681,438.5269,65,N/A,N/A,N/A,65,audio delay,1,left,no early,hit,0,0,435.6889,436.8889,436.8889,436.9389,"[436.9919, 437.1035, 437.2603, 437.4567, 437.6262]",[],[],434.1681,434.1781,[],435.0389,435.6889
65,440.3909,445.2858,66,2.519,5.500,0.5000,66,audio delay,1,right,no early,hit,0,0,442.2094,443.4094,443.4094,443.4594,[],442.9099,443.4099,440.8909,440.9009,"[443.7508, 443.9215, 444.1108, 444.29]",441.5594,442.2094
66,447.1567,451.9955,67,N/A,N/A,N/A,67,audio delay,1,left,no early,hit,0,0,449.0674,450.2674,450.2674,450.3174,"[450.4605, 450.6219, 450.7713, 450.9354]",[],[],447.6567,447.6667,[],448.4174,449.0674
67,453.8631,458.6586,68,N/A,N/A,N/A,68,audio delay,1,right,no early,hit,0,0,455.7141,456.9141,456.9141,456.9641,[],[],[],454.3631,454.3731,"[457.1236, 457.2314, 457.4356, 457.6282, 457.6656, 457.8117, 457.9971]",455.0641,455.7141
68,460.5393,466.1484,69,N/A,N/A,N/A,69,audio delay,1,left,no early,hit,0,0,462.5748,464.3748,464.3748,464.4248,"[464.6134, 464.8141, 464.9681, 465.1622, 465.3874]",[],[],461.0393,461.0493,[],461.9248,462.5748
69,468.0199,473.1111,70,N/A,N/A,N/A,70,audio delay,1,right,no early,hit,0,0,470.0358,471.2358,471.2358,471.2858,[],[],[],468.5199,468.5299,"[471.5761, 471.7549, 471.9426, 472.1144]",469.3858,470.0358
70,474.9821,479.9102,71,N/A,N/A,N/A,71,audio delay,1,left,no early,hit,0,0,477.0121,478.2121,478.2121,478.2621,"[478.3752, 478.4773, 478.6494, 478.7982, 478.9702]",[],[],475.4821,475.4921,[],476.3621,477.0121
71,481.7852,485.8931,72,N/A,N/A,N/A,72,audio delay,1,left,no early,hit,0,0,483.7987,484.0987,484.0987,484.1487,"[484.3581, 484.4826, 484.6411, 484.8132, 484.9921]",[],[],482.2852,482.2952,[],483.1487,483.7987
72,487.7709,492.7623,73,2.713,5.500,0.5000,73,audio delay,1,right,no early,hit,0,0,489.7834,490.9834,490.9834,491.0334,[],490.4839,490.9839,488.2709,488.2809,"[491.2273, 491.3717, 491.5602, 491.7652, 491.9227]",489.1334,489.7834
73,494.6369,499.6479,74,N/A,N/A,N/A,74,audio delay,1,left,no early,hit,0,0,496.6373,497.8373,497.8373,497.8873,"[498.1129, 498.2241, 498.416, 498.5868, 498.7382, 498.9317]",[],[],495.1369,495.1469,[],495.9873,496.6373
74,501.5277,506.3466,75,N/A,N/A,N/A,75,audio delay,1,left,no early,hit,0,0,503.3382,504.5382,504.5382,504.5882,"[504.8116, 504.9197, 505.1136, 505.2481, 505.4394, 505.6004]",[],[],502.0277,502.0377,[],502.6882,503.3382
75,508.2289,512.9841,76,2.575,5.500,0.5000,76,audio delay,1,left,no early,hit,0,0,510.1042,511.3042,511.3042,511.3542,"[511.4491, 511.5589, 511.7187, 511.9234, 512.0751, 512.2561]",510.8039,511.3039,508.7289,508.7389,[],509.4542,510.1042
76,514.8633,519.7932,77,N/A,N/A,N/A,77,audio delay,1,right,no early,hit,0,0,516.8326,518.0326,518.0326,518.0826,[],[],[],515.3633,515.3733,"[518.2582, 518.3862, 518.6128, 518.7676, 518.929, 519.1098]",516.1826,516.8326
77,521.675,526.4409,78,N/A,N/A,N/A,78,audio delay,1,left,no early,hit,0,0,523.4976,524.6976,524.6976,524.7476,"[524.9059, 525.0711, 525.2206, 525.4054]",[],[],522.175,522.185,[],522.8476,523.4976
78,528.3257,533.0052,79,N/A,N/A,N/A,79,audio delay,1,left,no early,hit,0,0,530.1374,531.3374,531.3374,531.3874,"[531.4702, 531.6061, 531.7954, 531.9629, 532.147]",[],[],528.8257,528.8357,[],529.4874,530.1374
79,534.8908,539.9966,80,2.732,5.500,0.5000,80,audio delay,1,right,no early,hit,0,0,536.923,538.123,538.123,538.173,[],537.6228,538.1228,535.3908,535.4008,"[538.4616, 538.6304, 538.8323, 539.0114]",536.273,536.923
80,541.881,546.6929,81,2.593,5.500,0.5000,81,audio delay,1,left,no early,hit,0,0,543.7737,544.9737,544.9737,545.0237,"[545.1579, 545.2665, 545.4243, 545.4847, 545.6082]",544.474,544.974,542.381,542.391,[],543.1237,543.7737
81,548.5821,552.7515,82,N/A,N/A,N/A,82,audio delay,1,right,no early,miss,0,0,550.5178,551.7178,551.7178,551.7678,552.2515,[],[],549.0821,549.0921,552.6053,549.8678,550.5178
82,554.6584,558.8151,83,N/A,N/A,N/A,83,audio delay,1,right,no early,miss,0,0,556.6202,557.8202,557.8202,557.8702,558.3151,[],[],555.1584,555.1684,558.5507,555.9702,556.6202
83,560.7053,565.7472,84,N/A,N/A,N/A,84,audio delay,1,right,no early,hit,0,0,562.7044,563.9044,563.9044,563.9544,[],[],[],561.2053,561.2153,"[564.2122, 564.3888, 564.5677, 564.7494]",562.0544,562.7044
84,567.6386,572.6438,85,2.643,5.500,0.5000,85,audio delay,1,right,no early,hit,0,0,569.5816,570.7816,570.7816,570.8316,[],570.2816,570.7816,568.1386,568.1486,"[571.1088, 571.3133, 571.4808, 571.6433]",568.9316,569.5816
85,574.5337,579.5746,86,N/A,N/A,N/A,86,audio delay,1,left,no early,hit,0,0,576.5618,577.7618,577.7618,577.8118,"[578.0396, 578.1951, 578.3723, 578.5835, 578.7313]",[],[],575.0337,575.0437,[],575.9118,576.5618
86,581.4675,586.4656,87,N/A,N/A,N/A,87,audio delay,1,right,no early,hit,0,0,583.4704,584.6704,584.6704,584.7204,[],[],[],581.9675,581.9775,"[584.9306, 585.0479, 585.2417, 585.4308, 585.6206]",582.8204,583.4704
